PROMOTIONID,DOMAINNAMEID,EXPIREDATE
606884,11395,2022-03-13 23:59:59.000 Z
606948,5906,2022-03-10 23:59:59.000 Z
606860,2528,2022-03-22 23:59:59.000 Z
606634,29803,2022-03-08 23:59:59.000 Z
607022,25695,2022-03-17 23:59:59.000 Z
606707,172095,2022-04-01 23:59:59.000 Z
606248,386026,2022-03-21 23:59:59.000 Z
606105,6192,2022-04-02 23:59:59.000 Z
605213,2539,2022-12-31 23:59:59.000 Z
606813,3338,2022-03-10 23:59:59.000 Z
606612,146206,2022-03-13 23:59:59.000 Z
606748,494915,2022-03-10 23:59:59.000 Z
606817,64337,2022-03-10 23:59:59.000 Z
606909,55623,2022-04-01 23:59:59.000 Z
605283,3706,2022-04-30 23:59:59.000 Z
606501,12339,2022-03-15 23:59:59.000 Z
606865,376711,2022-03-31 23:59:59.000 Z
606880,2826,2022-03-08 23:59:59.000 Z
606815,442373,
606938,435756,2022-03-14 23:59:59.000 Z
606922,376721,2022-03-12 23:59:59.000 Z
606804,4433,2022-03-09 23:59:59.000 Z
606942,376157,2022-03-12 23:59:59.000 Z
606963,30482,2022-04-08 23:59:59.000 Z
605966,51598,2022-03-31 23:59:59.000 Z
606767,372078,2022-03-07 23:59:59.000 Z
607006,154646,2022-03-20 23:59:59.000 Z
606128,375587,2022-03-13 23:59:59.000 Z
607008,446245,2022-03-14 23:59:59.000 Z
607014,4058,2022-03-24 23:59:59.000 Z
606855,33467,2022-03-08 23:59:59.000 Z
606114,2467,2022-03-10 23:59:59.000 Z
605945,436778,2022-03-31 23:59:59.000 Z
606886,324260,2022-05-31 23:59:59.000 Z
606805,70216,2022-03-10 23:59:59.000 Z
606608,481093,2022-12-31 23:59:59.000 Z
606604,480512,2022-12-31 23:59:59.000 Z
605189,418341,2022-04-14 23:59:00.000 Z
607002,26240,2022-03-14 23:59:59.000 Z
606325,2500,2022-04-18 23:59:59.000 Z
606867,47766,
606934,400511,2022-03-09 23:59:59.000 Z
606953,2434,2022-03-09 23:59:59.000 Z
607019,354199,2022-03-17 23:59:59.000 Z
607007,386340,2022-06-29 23:59:59.000 Z
607021,439779,2022-03-16 23:59:59.000 Z
606949,386180,2022-04-01 23:59:59.000 Z
606792,2527,2022-03-12 23:59:59.000 Z
604958,393896,2022-02-20 23:59:59.000 Z
605435,2365,2022-02-19 23:59:59.000 Z
605185,2508,2022-02-19 23:59:59.000 Z
606997,13870,2022-03-31 23:59:59.000 Z
605272,403118,2022-03-31 23:59:59.000 Z
607000,3062,
606774,3755,2022-03-07 23:59:59.000 Z
605865,424912,2022-12-31 23:59:59.000 Z
606981,30482,
606967,30482,
606811,113920,2022-03-13 23:59:59.000 Z
606275,363080,2022-12-30 23:59:59.000 Z
606974,30482,
606993,30482,
606097,277076,2022-03-12 23:59:59.000 Z
606944,1909,2022-03-09 23:59:59.000 Z
606931,1872,
606378,4058,2022-03-08 23:59:59.000 Z
605392,1961,
607011,1909,2022-03-13 23:59:59.000 Z
606343,4500,2022-03-31 23:59:59.000 Z
606956,204170,
606397,437128,2022-04-01 23:59:59.000 Z
606747,4111,
606745,302700,
606165,54241,2022-03-30 23:59:59.000 Z
606546,453400,2022-03-03 23:59:59.000 Z
606545,51992,2022-03-31 23:59:59.000 Z
606755,2001,2022-03-12 23:59:59.000 Z
606551,336593,2022-04-03 23:59:59.000 Z
606548,3755,2022-04-01 23:59:59.000 Z
606544,2257,2022-03-08 23:59:59.000 Z
606626,442051,2022-03-06 23:59:59.000 Z
605996,393896,2022-03-13 23:59:59.000 Z
606553,439034,2022-03-08 23:59:59.000 Z
606742,30482,2022-03-08 23:59:59.000 Z
606552,7766,2022-03-09 23:59:59.000 Z
606725,61427,
606555,57424,2022-06-30 23:59:59.000 Z
605975,375416,2022-03-20 23:59:59.000 Z
606556,204040,
606730,65653,
606558,153389,2022-03-06 23:59:59.000 Z
605829,2527,2022-03-12 23:59:59.000 Z
606657,24752,
606722,375587,
606559,289791,2022-03-28 23:59:59.000 Z
606570,413176,2022-03-07 23:59:59.000 Z
606575,130914,2022-03-08 23:59:59.000 Z
606217,8254,2022-03-05 23:59:59.000 Z
606219,162000,2022-03-05 23:59:59.000 Z
606564,379575,2022-03-31 23:59:59.000 Z
606589,8224,2022-05-31 23:59:59.000 Z
606569,97327,
606642,370480,2022-03-08 23:59:59.000 Z
606772,8254,2022-03-12 23:59:59.000 Z
606583,54308,2022-03-15 23:59:59.000 Z
606584,4964,2022-03-18 23:59:59.000 Z
606498,2944,2022-03-10 23:59:59.000 Z
606499,46444,2022-04-01 23:59:59.000 Z
606723,170351,2022-03-05 23:59:59.000 Z
606503,484013,2022-03-31 23:59:59.000 Z
606500,376291,2022-03-31 23:59:59.000 Z
606163,27664,
606170,375572,
606746,302700,
606476,210558,2022-04-01 23:59:59.000 Z
606744,302700,
606480,216540,2022-03-18 23:59:59.000 Z
606478,116263,2022-03-31 23:59:59.000 Z
605508,2343,2022-03-02 23:59:59.000 Z
606481,183615,2022-03-31 23:59:59.000 Z
606415,377634,2022-03-08 23:59:59.000 Z
606423,1872,2022-03-26 23:59:59.000 Z
606408,184896,2022-03-18 23:59:59.000 Z
606628,56754,2022-03-11 23:59:59.000 Z
606640,3568,2022-03-11 23:59:59.000 Z
606549,20193,2022-03-09 23:59:59.000 Z
606426,6997,2022-03-03 23:59:59.000 Z
605043,101915,2022-12-31 23:59:59.000 Z
606428,65653,2022-03-31 23:59:59.000 Z
606425,2685,2022-03-31 23:59:59.000 Z
606427,3777,2022-03-28 23:59:59.000 Z
606430,8942,2022-03-13 23:59:59.000 Z
606429,32780,2022-03-13 23:59:59.000 Z
606446,105816,2022-03-04 23:59:59.000 Z
606528,11565,2022-03-03 23:59:59.000 Z
606606,184786,2022-03-13 23:59:59.000 Z
606632,2001,2022-03-07 23:59:59.000 Z
606701,30482,2022-03-05 23:59:59.000 Z
606445,9054,2022-03-04 23:59:59.000 Z
606471,17180,2022-03-31 23:59:59.000 Z
606475,2186,2022-03-17 23:59:59.000 Z
606484,289692,2022-04-04 23:59:59.000 Z
606061,445207,2022-04-01 23:59:59.000 Z
606477,163233,2022-04-30 23:59:59.000 Z
605257,11480,2022-12-31 23:59:59.000 Z
606489,382281,2022-04-14 23:59:59.000 Z
606292,8060,2022-03-04 23:59:59.000 Z
606497,375901,2022-06-30 23:59:59.000 Z
606457,7653,2022-03-08 23:59:59.000 Z
606462,202083,2022-03-22 23:59:59.000 Z
606463,393895,2022-03-28 23:59:59.000 Z
606456,2343,2022-03-09 23:59:59.000 Z
606467,437206,2022-03-08 23:59:59.000 Z
